etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,1cb5629e-5f14-4828-a502-b81e0cf7999f
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,f25b781d-a8ed-4ad3-82a1-6d3e897e7ecf
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8508baf4-4275-40f8-90ea-659021bdff53
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,917e7058-2613-44f9-9ad2-fe51ca4a2f78
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,273aa127-216b-4855-a05e-43608e085182
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,8c0d855a-6c47-443f-9fe1-304bb8ba3967
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,a4b49d41-afe6-40e6-86bb-f289ed5c7687
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,ec97ebc1-f88a-4f51-85d6-f132c805f204
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,07f7313e-6bec-48b0-be4d-359ac0bc2961
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,7d2c195c-02f8-4530-b715-c20a8eb1e6b0
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,202f6bdb-29e2-44ff-a60c-49e71cfa088f
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,33128a62-61de-4f05-9a43-733c24b0887f
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,48aa88fb-caaf-40b6-a558-1a90a2f127ec
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,506d0757-32f3-4365-93c3-db727cf3523c
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,e1043a2a-361d-48d7-9232-ec394266d40b
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,ba86a743-fe13-4d2a-9b81-002a69ad3151
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,21ea71f8-53b9-4a2b-ad61-3b8b6d01b625
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,370e7728-c5a1-4a41-96e2-159ecdfaa0b0
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,baa47817-244a-49ba-81d4-a0353ebe25fe
